bgg_id,name
1,Admin: Test Family
2,Game: Carcassonne
3,Game: Catan
4,Series: The Chicken Family of Zoch
5,Game: Bohnanza
6,Series: Triple-Flips (Takara)
7,Series: Flipsiders (Milton Bradley)
8,Game: Fluxx
9,Traditional Games: Mancala
10,Series: GIPF Project
11,Series: Mystery Rummy
12,Series: 10 Days in ...
13,Game: Diceland
14,Series: Mission Command (Milton Bradley)
15,Series: Knizia Florentine auction games
16,Game: Transamerica
17,Game: Ticket to Ride (Official)
18,Series: Bean Games (Lookout)
19,Series: 18xx
20,Components: Looney Pyramid Games
21,Game: Star Fleet Battles
22,Game: Starfire
23,Game: Federation Commander
24,Game: Munchkin
25,Game: Federation & Empire
26,Game: Talisman
27,Series: Team Work (Adlung-Spiele)
29,Game: Twilight Imperium
30,Game: Dungeon Twister
31,Game: Dungeoneer
32,Game: Duel of Ages
33,Game: Apples to Apples
34,Game: Axis & Allies (Avalon Hill)
35,Game: Heroscape
36,Series: Rome at War (Avalanche Press)
37,Series: 1 on 1 Adventure Gamebooks
38,Series: Prairie Railroads (Winsome)
39,Series: Early Railways (Winsome Games)
40,Series: The Mask Trilogy (Kramer / Kiesling)
42,Series: Tile-Laying Trilogy (Reiner Knizia)
43,Game: Tigris & Euphrates
45,Series: Second World War at Sea (Avalanche Press)
46,Series: Great War at Sea (Avalanche Press)
47,Game: Anno Domini
48,Series: Key (Richard Breese)
49,Game: Blood Bowl
50,Series: Commands & Colors
51,Series: Empire Builder Rail Games (Mayfair)
52,Game: Zombies!!! (Twilight Creations)
53,Series: B-Movies (Z-Man)
54,Series: Battles of the American Revolution (GMT)
55,Game: Wings of Glory
56,Series: The Riding (Winsome)
57,Series: Historic Railroads System (Winsome Games)
58,Series: Alea Big Box
59,Series: Alea Medium Box
60,Series: Alea Small Box
61,Series: 3M Gamettes
62,Game: Advanced Squad Leader
63,Game: Stonehenge
64,Series: Decktet Games
65,Series: Runebound (Fantasy Flight Games)
66,Series: Ace of Aces (Nova Game Designs)
