bgg_id,name
1,Karl-Heinz Schmiel
2,Reiner Knizia
3,(Uncredited)
4,Sid Sackson
5,Jean du Poël
6,Martin Wallace
7,Wolfgang Kramer
8,Richard Ulrich
9,Alan R. Moon
10,Uwe Rosenberg
11,Klaus Teuber
12,Reinhard Staupe
13,Stefan Dorra
14,Richard Garfield
15,Gérard Delfanti
17,Pascal Trigaux
18,Mark A. Snowden
19,Richard Hamblen
20,Glenn Rahman
21,Christian T. Petersen
22,Steve Jackson (I)
23,Roland Scaron
24,Alex Randolph
25,Richard Borg
27,Lynn Willis
28,Charlie Krank
30,Steve Barnes (I)
31,Peter Wyche
33,Ian Livingstone
34,Bill Eberle
35,Jack Kittredge
36,Peter Olotka
37,Karsten Hartwig
38,Gerard Mulder
39,Rick Priestley
40,Nigel Stillman
41,Valentin Herman
42,Michael Kiesling
44,Yves Hirschfeld
45,Gilles Monnet
46,Tom Wham
47,Doug Kaufman
48,Wilko Manz
49,Philippe Keyaerts
50,Klaus Palesch
51,Stephen Hand
52,Dan Campagna
53,Pascal Bernard
54,Amy Mook
55,Donald Benge
56,J. C. Connors (I)
57,Franz-Benno Delonge
58,Francis Tresham
59,Marcel-André Casasola Merkle
60,Dirk Henn
61,James Ernest
62,Craig Besinque
63,Tim Taylor
64,Tom Dalgliesh
65,Gary Selkirk
66,Lance Gutteridge
67,Steve Brewster
68,Ron Gibson
69,Grant Dalgliesh
71,Rodger B. MacGowan
74,Doris Matthäus
75,Frank Nestel
76,Don Greenwood
77,Mike Fitzgerald
79,Dominique Ehrhard
80,Duccio Vitale
81,Philip O'Neill
82,Paul Peterson
83,Niek Neuwahl
84,Peter Burley
85,Thorsten Gimmler
86,Michael Schacht
87,Wolfgang Lüdtke
88,Roger Heyworth
90,John Haley
91,Christwart Conrad
92,Johan Schuyl
93,Klaus Kreowski
94,Reinhold Wittig
96,Franck Parcabe
97,Jason B. McAllister
98,David A. Trampier
99,Dieter Danziger
100,Ursula Kramer
101,Michel Lalet
102,Laurent Levi
103,Darwin Bromley
104,Eric Solomon
105,Greg Porter
106,Bill Fawcett
107,Laurent Lavaur
108,Eric Randall
110,Ken Whitman
111,James Kyle
112,Sandie Richardson
113,Chris Young
114,Hanno Kuhn
115,Wilfried Kuhn
116,Albert Lamorisse
117,Andreas Seyfarth
118,Skaff Elias
119,Jim Lin
120,Gary Dicken
121,Steve Kendall
122,Andrew Looney
123,John Cooper
124,Corné van Moorsel
125,Bruno Faidutti
126,Pierre Cléquin
127,John Nephew
128,Derek Carver
129,Bernhard Weber
130,Werner Hodel
131,Ronald Wettering
132,Günter Cornett
133,Tom Kruszewski
134,Richard Breese
135,Richard H. Berg
136,S. Craig Taylor
137,Carol Wiseley
138,Leo Colovini
139,Horst-Rainer Rösner
140,Mark Simonitch
141,Friedemann Friese
142,Michael Rieneck
143,Alfred Mosher Butts
144,Jacques Zeimet
145,David Coutts
146,Helga Huber
147,Hermann Huber
148,Charles Phillips
149,Francis Pacherie
150,Thomas Lehmann
151,Chris Bayliss
152,Mark Herman
153,Richard Halliwell
154,Rudi Hoffmann
155,Richard Winter
156,Charles Vasey
157,Klaus Paal
158,Reiner Stockhausen
159,Henri Sala
160,Neal Schlaffer
161,Julian Courtland-Smith
162,Stephen Hubell
163,Oliver Abendroth
164,Kristin Looney
165,Mick Ado
166,David Parlett
167,Larry Winters
168,P. Winters
169,Eric Goldberg
170,Vincent Tsao
171,Ben Grossman
172,Urs Hostettler
173,Günter Burkhardt
174,Phil Eklund
175,James B. Wood
176,Thomas Fackler
177,Mark Caines
178,Anthony Watts
179,Virginia Charves
180,Bertram Kaes
181,Ben Knight
182,Peter Schurzmann
183,Dan Glimne
184,Frank DiLorenzo
185,Stacey Merrill
186,Scott Peterson
