bgg_id,name
2,Moskito Spiele
3,Rio Grande Games
4,(Self-Published)
5,The Avalon Hill Game Co
6,Historien Spiele Galerie (Historien Spielegalerie)
7,Warfrog Games
8,AMIGO
9,alea
10,Mayfair Games
11,F.X. Schmid
12,Cheapass Games
13,Wizards of the Coast
14,Ludodélire
15,Twentieth Century Renaissance
16,TSR
17,Fantasy Flight Games
18,Supremacy Games
19,Steve Jackson Games
20,Milton Bradley
21,Canada Games
22,Piatnik
23,Chaosium
24,Panther Games
25,"Amarillo Design Bureau, Inc."
26,Games Workshop Ltd.
27,Eon
28,Parker Brothers
29,ABACUSSPIELE
30,Berliner Spielkarten
31,TM Spiele
32,Think Games
33,Fanfor-Verlag
34,Ravensburger
35,Orion
36,Sophisticated Games
37,KOSMOS
38,Schmidt Spiele
39,Pegasus Spiele
40,West End Games
41,Descartes Editeur
42,Tilsit
43,Ampersand Press
44,Goldsieber Spiele
46,Adlung-Spiele
47,Queen Games
48,Out of the Box Publishing
49,Columbia Games
50,QED Games
51,Hasbro
52,GMT Games
54,Doris & Frank
55,"U.S. Games Systems, Inc."
57,Upstarts
58,2F-Spiele
59,Winning Moves Games (USA)
60,White Wind
62,Hexagames (I)
63,IQ Products
64,E.S. Lowe
65,Winsome Games
66,Abalone Games
67,Galoob
69,Blacksburg Tactical Research Center
70,Archangel Studios
71,Glastyn Games
73,Blatz
74,ASS Altenburger Spielkarten
75,Ragnar Brothers
76,Looney Labs
77,Cwali
78,Atlas Games
79,Walter Müller's Spielewerkstatt
81,Bambus Spieleverlag
82,Funagain
83,R&D Games
84,Straight Line Products
87,Zoch Verlag
88,Board Not Bored Games
89,Truant Spiele
90,TimJim Games
91,Prism Games
92,3M
93,"Mattel, Inc."
94,Clash of Arms Games
95,Waddingtons
96,Wotan Games
97,Incredible Game Company
98,Iron Crown Enterprises
99,Otto Maier Verlag
100,db-Spiele
101,Sierra Madre Games
102,Decision Games (I)
103,Gibsons
104,G&RRR
105,R&R Games
106,Mendocino Game Company
107,Mox Srl
108,Gamewright
109,"Set Enterprises, Inc."
110,Red Storm Entertainment
111,Casper
112,Target Games
114,Fata Morgana Spiele
115,Pressman Toy Corp.
116,Eurogames
117,International Games
118,AZA Spiele
119,Trollspel
120,"SPI (Simulations Publications, Inc.)"
121,Harlekin
122,Spielzeit!
123,Victory Games (I)
124,Great American Trading Company
125,MultiSim
126,Power Games International
127,Klee
130,Gamut of Games
131,Venice Connection
132,Two Wolf
133,Hans im Glück
134,"Research Games, Inc. / Athol / RGI / ARC"
135,"Lance and Laser Models, Inc."
136,Holtmann VIP
137,Don & Co.
138,Those Darn Games!
139,Laurin Verlag
140,Splotter Spellen
141,Professional Motor Sports Games
142,Avalanche Press Ltd.
143,M + A Spiele
144,Flying Turtle Games
145,Ludis
146,Daggit Games
147,Kuhlmann Geschichtsspiele
148,Holzinsel
149,Jolly Games
150,Chessex
151,franjos Spieleverlag
152,Lakeside
153,Ideal
154,Yaquinto
155,Gigamic
156,Relaxx
157,Asmodee
158,Games with a Twist
159,McGartlin Motorsport Design
160,Anoch Game Systems
161,Hangman Games
162,Inward Games
163,Spielclub
164,Iron Bear Studios
165,Kontrell Industries
166,Simulations Workshop
167,Huki
168,Stanley Kubiak
169,Kenzer and Company
170,OSG (Operational Studies Group)
171,(Public Domain)
172,Enginuity
173,Three Wishes
174,Wittspiel
175,VSK-Erwachsenenspiele
176,Hillary's Toy Box
177,Evil Polish Brothers
178,Excelsior Games
179,Zobmondo!! Entertainment LLC
180,Williemakit
181,Game Designers' Workshop (GDW Games)
182,"Xanadu Leisure, Ltd."
184,Red Oak Products
185,Thomas Naylor and Associates
186,Savant Garde Entertainment
187,Binary Arts
188,Pacesetter
189,XTR Corp
191,"Flying Buffalo, Inc. (FBI)"
192,Fantasy Games Unlimited
193,Crisloid
194,"Triple Threat, Inc."
195,Azure Wish Enterprise (AWE)
196,Multi-Man Publishing
197,Lolo Company Inc.
198,Game Geste
199,"Design Square, Singapore"
200,Fundex
201,Wingnut Games
203,Kenterprises
204,"Wordnik Games, Inc."
